Start,End,Category,Descriptors,,
68:19:00,37,68:49:00,37,Own counter attack,A25e
68:28:00,37,68:47:00,37,Own  A25 E,Centre Top - CP
68:18:00,80,68:51:00,80,Own Circle possesion,Centre Top - GSO - TO C
68:24:00,33,68:49:00,33,Own GSO,on target - saved
68:39:00,20,69:04:00,20,Own TO C,Counterattack
68:29:00,83,68:59:00,83,Opp Counter Attack,TO
68:51:00,0,69:16:00,0,OPP TO3,Left - BS 2
68:50:00,0,69:16:00,0,Own BS2,Full Press - A25e
68:52:00,7,69:11:00,7,Own  A25 E,Right - PCW
69:03:00,7,69:13:00,7,Own PCW,
69:49:00,37,70:01:00,37,Own PCA,
69:37:00,47,70:02:00,47,Own GSO,on target - saved
69:43:00,70,70:08:00,70,Own GSO,on target - scored
69:48:00,7,70:08:00,7,Own Goal,
70:16:00,30,70:42:00,30,OPP BS2,75 Press - TO
70:33:00,0,70:58:00,0,OPP TO3,Left - Outlet
70:37:00,60,71:06:00,77,Own Outlet,Deep Press - A25e
70:58:00,30,71:17:00,30,Own  A25 E,Left - BS 4 - PCW
71:49:00,87,72:01:00,87,Own PCA,GSO
71:36:00,83,72:01:00,83,Own GSO,on target - saved
72:09:00,77,72:29:00,77,Own HB ATT,A25e
72:08:00,53,72:27:00,53,Own  A25 E,Centre Top - CP
71:59:00,13,72:32:00,13,Own Circle possesion,Right - TO C
72:17:00,33,72:42:00,33,Own TO C,BS 1
72:26:00,83,72:52:00,83,OPP BS1,75 Press - Bowl press - TO
72:37:00,57,73:02:00,57,OPP TO2,Left - BS 3
72:43:00,43,73:09:00,43,Own BS4,Own HB ATT - A25e
72:55:00,0,73:14:00,0,Own  A25 E,Right - BS 4
73:04:00,3,73:30:00,3,Own BS4,Own HB ATT - A25e
73:11:00,43,73:30:00,43,Own  A25 E,Centre Top - CP
73:00:00,43,73:33:00,43,Own Circle possesion,Centre Top - PCW
73:15:00,43,73:25:00,43,Own PCW,
74:05:00,3,74:17:00,3,Own PCA,
73:51:00,43,74:16:00,43,Own GSO,off target
74:30:00,23,74:42:00,23,Opp Shuttle,
74:19:00,87,74:44:00,87,Opp GSO,off target
75:03:00,43,75:15:00,43,Own Shuttle,
74:56:00,10,75:21:00,10,Own GSO,on target - scored
74:59:00,50,75:19:00,50,Own Goal,
75:28:00,87,75:40:00,87,Opp Shuttle,
75:20:00,7,75:45:00,7,Opp GSO,off target
75:59:00,10,76:11:00,10,Own Shuttle,
75:50:00,17,76:15:00,17,Own GSO,on target - scored
75:55:00,7,76:15:00,7,Own Goal,
76:19:00,23,76:31:00,23,Opp Shuttle,
76:44:00,50,76:56:00,50,Own Shuttle,
76:36:00,7,77:00:00,30,Own GSO,on target - scored
76:39:00,53,76:59:00,53,Own Goal,
76:54:00,60,77:00:00,30,End,
