Start,End,Category,Descriptors,,
46:29:00,96,67:25:00,48,Q3,TO C - Full Press - TO - Right - 75 Press - Outlet - Deep Press - Retain - 75 Press - Deep Press - TO - 75 Press - TO - Centre Top - Counterattack - A25e - Right - BS 4 - TO - scored - CP - BLine R - TO C - Full Press - TO - Right - Full Press - Breach - A25e - Centre Top - CP - Centre Top - PCW - GSO - on target - scored - saved - on target - saved - scored - Goal - 75 Press - Breach - A25e - Right - Retain - BS 4 - Left - TO - Centre Top - Right - BS 4 - TO - Right - TO - Left - Counterattack - A25e - Right - TO - Right - Full Press - Retain - Full Press - TO - Left - Counterattack - Right - TO - Right - Counterattack - Retain - 75 Press - Breach - A25e - Right - TO - Right - Full Press - Retain - Deep Press - TO - Centre Top - Counterattack - TO - Centre Top - Left - 75 Press - Breach - A25e - Right - BS 4 - TO - Right - Counterattack - Breach - Centre Top - CP - Right - GSO - off target - A25e - Centre Top - TO - Left - Left - 75 Press - A25e - Left - TO - Centre Top - Counterattack - A25e - Right - CP - BLine R - GSO - TO C - on target - saved - Centre Top - Counterattack - TO - Left - Deep Press - Counterattack - TO - Right - Counterattack - A25e - Right - Full Press - Counterattack - Breach - TO - Left - Full Press - Retain - TO - 75 Press - Retain - 75 Press - Retain - 75 Press - 75 Press - A25e - A25e - Left - TO - Left - Full Press - Retain - Full Press - A25e - Left - CP - Left - TO C - Counterattack - 75 Press - Full Press - TO - Right - Centre Top - Left - Right - Counterattack - A25e - CP - BLine R - Retain - Long corner - Centre Top - TO - Centre Top - TO - Right - Full Press - TO - Left - Counterattack - A25e - Right - TO - Right - Retain - 75 Press - TO - Right - Full Press - TO - Left - 75 Press - TO - Centre Top - Counterattack - Deep Press - TO - Centre Top - Centre Top - Counterattack - A25e - Right - BS 4 - TO - Centre Top - Counterattack
46:35:00,12,47:00:00,12,Opp TO3,Centre Top - Counterattack
46:23:00,68,46:53:00,68,Own counter attack,A25e
46:35:00,72,46:54:00,72,Own  A25 E,Right - BS 4
46:57:00,4,47:23:00,4,Own BS4,CP
46:52:00,36,47:25:00,36,Own Circle possesion,BLine R - TO C
47:12:00,8,47:37:00,8,Own TO C,
47:39:00,36,48:05:00,36,Opp BS1,Full Press - TO
48:00:00,68,48:25:00,68,Opp TO3,Right
48:01:00,88,48:27:00,88,Own BS2,Full Press - Breach - A25e
48:04:00,8,48:23:00,8,Own  A25 E,Centre Top - CP
47:55:00,12,48:28:00,12,Own Circle possesion,Centre Top - PCW
48:14:00,88,48:24:00,88,Own PCW,
49:03:00,28,49:15:00,28,Own PCA,GSO
48:53:00,48,49:18:00,48,Own GSO,on target - saved
48:55:00,24,49:20:00,24,Own GSO,on target - scored - Goal
48:58:00,88,49:18:00,88,Own Goal,
49:30:00,4,49:56:00,4,Opp BS2,75 Press - Breach - A25e
49:35:00,32,49:55:00,96,Opp A25 E,Right - Retain - BS 4
49:55:00,92,50:21:00,92,Opp BS4,
49:59:00,0,50:19:00,0,Opp HB ATT,
49:57:00,64,50:16:00,64,Opp A25 E,Left - TO
50:08:00,52,50:33:00,52,Opp TO4,Centre Top
50:14:00,36,50:39:00,36,Own TO1,Right - BS 4
50:29:00,20,50:55:00,20,Opp BS4,
50:50:00,24,51:16:00,24,Opp BS4,TO
50:52:00,52,51:12:00,52,Opp HB ATT,
50:57:00,76,51:22:00,76,Opp TO4,Right
51:14:00,8,51:40:00,8,Own BS1,TO
51:22:00,8,51:47:00,8,Own TO2,Left - Counterattack - A25e
51:20:00,60,51:39:00,60,Opp A25 E,Right - TO
51:30:00,84,51:55:00,84,Opp TO4,Right
51:33:00,80,51:59:00,80,Own BS1,Full Press - Retain
51:45:00,60,52:11:00,60,Own BS1,Full Press - TO
51:47:00,48,52:12:00,48,Own TO2,Left - Counterattack
51:37:00,8,52:07:00,8,Opp Counter Attack,
51:47:00,12,52:06:00,12,Opp A25 E,Right - TO
51:57:00,84,52:22:00,84,Opp TO4,Right - Counterattack
51:44:00,64,52:14:00,64,Own counter attack,Retain
52:14:00,40,52:40:00,40,Own BS2,75 Press - Breach - A25e
52:23:00,32,52:42:00,32,Own  A25 E,Right - TO
52:27:00,72,52:53:00,72,Opp BS1,Full Press - Retain
52:30:00,52,52:55:00,52,Own TO4,Right
52:43:00,48,53:09:00,48,Opp BS3,Deep Press - TO
53:05:00,80,53:30:00,80,Opp TO3,Centre Top - Counterattack
52:53:00,44,53:23:00,44,Own counter attack,TO
53:14:00,24,53:39:00,24,Own TO4,Centre Top
53:18:00,52,53:43:00,52,Opp TO2,Left
53:23:00,44,53:49:00,44,Own BS3,75 Press - Breach - A25e
53:31:00,84,53:50:00,84,Own  A25 E,Right - BS 4
53:42:00,28,54:08:00,28,Own BS4,TO
53:57:00,20,54:22:00,20,Own TO3,Right - Counterattack
53:46:00,92,54:16:00,92,Opp Counter Attack,Breach
54:00:00,72,54:19:00,72,Opp A25 E,Centre Top - CP
53:53:00,56,54:18:00,56,Opp GSO,off target
53:51:00,12,54:25:00,12,Opp Circle Possession,TO C - Right - GSO
54:09:00,76,54:34:00,76,Opp TO C,
54:21:00,0,54:47:00,0,Own BS1,Full Press - TO
54:31:00,36,54:56:00,36,Own TO3,Right - Outlet
54:34:00,80,54:59:00,80,Opp Outlet,75 Press
54:59:00,44,55:24:00,44,Opp Outlet,Deep Press - Retain
55:19:00,88,55:45:00,88,Opp BS3,Deep Press - TO
55:35:00,12,56:00:00,12,Opp TO3,Centre Top - Counterattack
55:24:00,84,55:54:00,84,Own counter attack,TO
55:45:00,80,56:10:00,80,Own TO3,Left
55:45:00,60,56:11:00,60,Opp BS2,Deep Press - Counterattack
55:35:00,24,56:05:00,24,Opp Counter Attack,TO
55:51:00,72,56:16:00,72,Opp TO3,Right - Counterattack
55:41:00,28,56:11:00,28,Own counter attack,A25e
55:56:00,68,56:15:00,68,Own  A25 E,Right - TO
56:04:00,68,56:29:00,68,Own TO4,Right
56:18:00,60,56:44:00,60,Opp BS1,Full Press - TO
56:30:00,96,56:55:00,96,Opp TO3,Left - Counterattack - A25e
56:22:00,56,56:52:00,56,Own counter attack,
56:32:00,84,56:51:00,84,Own  A25 E,Right - TO
56:48:00,28,57:13:00,28,Own TO4,Right
56:53:00,20,57:19:00,20,Opp BS1,Full Press - Counterattack - Breach
56:49:00,0,57:19:00,0,Opp Counter Attack,TO
57:04:00,36,57:29:00,36,Opp TO4,Left
57:07:00,32,57:33:00,32,Own BS1,Full Press - Retain
57:30:00,76,57:56:00,40,Own BS2,75 Press - Retain
57:48:00,12,58:14:00,12,Own BS3,75 Press - Retain
57:58:00,80,58:24:00,80,Own BS3,75 Press - A25e
58:04:00,40,58:29:00,40,Own Outlet,75 Press - A25e
58:05:00,8,58:24:00,8,Own  A25 E,Left - TO
58:19:00,72,58:44:00,72,Own TO4,Left
58:37:00,48,59:03:00,48,Opp BS1,Full Press - Retain
58:46:00,96,59:12:00,96,Opp BS2,Full Press - Retain
59:01:00,76,59:27:00,76,Opp BS3,75 Press - TO
59:12:00,68,59:37:00,68,Opp TO4,Right
59:14:00,0,59:40:00,0,Own BS1,Full Press - TO
59:24:00,96,59:49:00,96,Own TO2,Left
59:25:00,68,59:51:00,68,Opp BS3,75 Press - TO
59:29:00,40,59:54:00,40,Opp TO3,Centre Top - Counterattack
59:19:00,20,59:49:00,20,Own counter attack,A25e
59:31:00,96,59:50:00,96,Own  A25 E,Left - CP
59:20:00,52,59:53:00,52,Own Circle possesion,Left - TO C
59:40:00,20,60:05:00,20,Own TO C,
59:55:00,68,60:21:00,68,Opp BS3,Full Press - TO
59:57:00,96,60:22:00,96,Opp TO3,Right
60:09:00,60,60:34:00,60,Own TO3,Centre Top
60:23:00,0,60:48:00,0,Opp TO3,Left - Counterattack
60:18:00,28,60:48:00,28,Own counter attack,A25e
60:28:00,24,60:47:00,24,Own  A25 E,Right - CP
60:26:00,56,60:59:00,56,Own Circle possesion,BLine R - Retain - Long corner
60:52:00,68,61:18:00,68,Own BS4,
60:55:00,60,61:15:00,60,Own HB ATT,
61:08:00,32,61:27:00,32,Own  A25 E,Centre Top - TO
61:19:00,4,61:44:00,4,Own TO4,Centre Top
61:36:00,88,62:02:00,88,Opp BS2,Deep Press - TO
61:54:00,72,62:19:00,72,Opp TO3,Centre Top
62:10:00,60,62:35:00,60,Own TO3,Centre Top - Counterattack
61:58:00,16,62:28:00,16,Opp Counter Attack,A25e
62:09:00,16,62:28:00,16,Opp A25 E,Right - BS 4
62:17:00,48,62:43:00,48,Opp BS4,TO
62:22:00,60,62:47:00,60,Opp TO4,Centre Top - Counterattack
62:14:00,32,62:44:00,32,Own counter attack,A25e
62:30:00,72,62:49:00,72,Own  A25 E,Centre Top - TO
62:34:00,20,62:59:00,20,Own TO4,Left
62:47:00,88,63:12:00,88,Opp TO3,Left
62:52:00,52,63:22:00,64,Own BS2,75 Press - A25e
63:13:00,20,63:32:00,20,Own  A25 E,Left - TO
63:20:00,20,63:45:00,20,Own TO4,Centre Top - Counterattack
63:14:00,96,63:44:00,96,Opp Counter Attack,A25e
63:25:00,80,63:44:00,80,Opp A25 E,Right - CP
63:19:00,40,63:53:00,40,Opp Circle Possession,BLine R - GSO - TO C
63:30:00,56,63:55:00,56,Opp GSO,on target - saved
63:42:00,56,64:07:00,56,Opp TO C,
63:51:00,12,64:17:00,12,Own BS1,Full Press - Retain
