Start,End,Category,Descriptors
00:11,22,17:43,54,Q1,75 Press - A25e - Right - BS 4 - Long corner - TO - Right - Counterattack - A25e - Left - CP - Left - Retain - Opp HB ATT - CP - Left - TO C - TO - Right - BS 3 - Full Press - TO - Right - TO - Left - A25e - Counterattack - A25e - Right - CP - BLine R - Retain - Retain - BS 4 - Own HB ATT - TO - Left - TO - Right - BS 2 - 75 Press - TO - Left - BS 1 - Full Press - Retain - BS 2 - 75 Press - A25e - Right - Retain - Retain - BS 4 - Retain - CP - Right - PCW - GSO - on target - saved - Retain - Own HB ATT - Retain - A25e - Right - BS 4 - Own HB ATT - A25e - Left - CP - CP - Bline L - TO C - BS 1 - Full Press - Retain - BS 3 - A25e - Right - BS 4 - TO - Right - BS 1 - 75 Press - A25e - Right - BS 4 - TO - Right - Counterattack - TO - Left - TO - Right - Counterattack - TO - Centre Top - BS 3 - A25e - Right - CP - BLine R - GSO - on target - saved - TO C - Counterattack - TO - BS 2 - Full Press - Retain - BS 3 - 75 Press - A25e - Left - CP - Left - Retain - Centre Top - PCW - on target - saved - Left - TO C - Counterattack - A25e - Right - TO - Right - BS 1 - 75 Press - A25e - Left - TO - Left - BS 1 - 75 Press - TO - Centre Top - BS 1 - Deep Press - TO - Centre Top - BS 2 - Full Press - A25e - Right - TO - Right - Counterattack - A25e - Left - CP - Left - TO C - Retain - TO C - BS 1 - 75 Press - TO - Left - TO - Right - TO - Centre Top - Counterattack - A25e - Centre Top - CP - Left - TO C - TO - Right - Outlet - Counterattack - BS 3 - A25e - Left - BS 4 - Own HB ATT - TO - Left - TO - Right - Counterattack - A25e - Right - Retain - A25e - Left - TO - Left - BS 1 - Full Press - Retain - BS 1 - Full Press - TO - Right - Counterattack - A25e - Left - Left - BS 4 - Own HB ATT - A25e - Right - TO - Centre Top - TO - Left - BS 3 - 75 Press - TO - Centre Top - TO - Left - TO - Left - Counterattack - A25e - Right - BS 4 - CP - Right - GSO - off target - TO C - BS 1
31:17,44,31:42,44,OPP TO2,Left - Counterattack
31:14,72,31:33,72,Own  A25 E,Right - BS 4
31:31,36,31:57,36,Own BS4,Own HB ATT
31:40,94,32:00,94,Own HB ATT,TO
31:45,22,32:10,22,OPP TO3,Left - Counterattack
31:34,64,32:04,64,Opp Counter Attack,A25e
31:47,24,32:06,24,Opp A25 E,CP - Right
31:41,80,32:15,80,Opp Circle Possession,Right - TO C
32:00,68,32:25,68,OPP TO C,Counterattack
31:53,06,32:23,06,Own counter attack,A25e
32:11,98,32:30,98,Own  A25 E,Left - CP
32:03,20,32:36,20,Own Circle possesion,Left - PCW
32:05,86,32:27,86,Own PCW,
33:08,92,33:20,92,Own PCA,
32:55,00,33:17,00,Own PCW,
33:51,02,34:03,02,Own PCA,
33:40,04,34:02,04,Own PCW,
34:21,20,34:33,20,Own PCA,
34:09,18,34:34,18,Own GSO,on target - saved
34:30,54,34:55,54,Own TO4,Centre Top - BS 1
34:56,02,35:21,02,OPP Outlet,
34:55,22,35:21,22,OPP BS1,Full Press - A25e
35:04,76,35:23,76,Opp A25 E,Right - TO
35:10,58,35:35,58,OPP TO4,Right - BS 1
35:11,80,35:37,80,Own BS1,Full Press - TO
35:24,80,35:49,80,OPP TO3,Right - TO
35:34,40,35:59,40,OPP TO2,Left - BS 3
35:36,60,36:03,18,Own BS3,Deep Press - A25e
35:54,42,36:16,58,Own  A25 E,Left - Retain - TO - BS 2
36:11,64,36:37,64,OPP BS2,75 Press - TO
36:17,50,36:42,50,OPP TO3,Centre Top - Counterattack
36:16,56,36:46,56,Own counter attack,A25e
36:27,28,36:46,28,Own  A25 E,Right - BS 4
36:39,90,37:05,90,Own BS4,Retain - BS 4
36:54,38,37:20,38,Own BS4,TO
36:59,46,37:24,46,Own TO4,Centre Top - Counterattack
36:50,78,37:20,78,Opp Counter Attack,A25e
37:02,12,37:21,12,Opp A25 E,Centre Top - TO
